영상번호,장면명,갈래,단어,레벨,원래레벨,보정
완성-05,늪가의 개구리,완성분,log,레벨2,레벨2,
완성-05,늪가의 개구리,완성분,snake,레벨2,레벨1,O
완성-05,늪가의 개구리,완성분,rat,레벨2,레벨1,O
완성-05,늪가의 개구리,완성분,shade,레벨2,레벨1,O
완성-06,시골길과 열기구,완성분,countryside,레벨2,레벨1,O
완성-06,시골길과 열기구,완성분,lane,레벨2,레벨1,O
완성-06,시골길과 열기구,완성분,route,레벨2,레벨2,
완성-06,시골길과 열기구,완성분,highway,레벨2,레벨1,O
완성-06,시골길과 열기구,완성분,pole,레벨2,레벨2,
완성-06,시골길과 열기구,완성분,balloon,레벨1,레벨1,
완성-06,시골길과 열기구,완성분,square,레벨1,레벨1,
완성-06,시골길과 열기구,완성분,pine,레벨1,레벨2,O
S1-013,부두의 진급식,일과 직업,captain,레벨1,레벨1,
S1-013,부두의 진급식,일과 직업,chief,레벨2,레벨2,
S1-013,부두의 진급식,일과 직업,military,레벨2,레벨1,O
S1-013,부두의 진급식,일과 직업,officer,레벨2,레벨1,O
S1-013,부두의 진급식,일과 직업,soldier,레벨2,레벨1,O
S1-013,부두의 진급식,일과 직업,promote,레벨2,레벨2,
S1-014,채용을 결정하는 회의실,일과 직업,boss,레벨2,레벨1,O
S1-014,채용을 결정하는 회의실,일과 직업,chairman,레벨2,레벨1,O
S1-014,채용을 결정하는 회의실,일과 직업,client,레벨2,레벨2,
S1-014,채용을 결정하는 회의실,일과 직업,employ,레벨2,레벨2,
S1-014,채용을 결정하는 회의실,일과 직업,hire,레벨2,레벨2,
S1-014,채용을 결정하는 회의실,일과 직업,secretary,레벨2,레벨1,O
S1-015,무료 법률상담 사무소,일과 직업,agent,레벨2,레벨1,O
S1-015,무료 법률상담 사무소,일과 직업,clerk,레벨2,레벨1,O
S1-015,무료 법률상담 사무소,일과 직업,firm,레벨2,레벨2,
S1-015,무료 법률상담 사무소,일과 직업,lawyer,레벨2,레벨1,O
S1-015,무료 법률상담 사무소,일과 직업,volunteer,레벨2,레벨2,
S1-016,강철 부품 생산선,일과 직업,engineer,레벨2,레벨1,O
S1-016,강철 부품 생산선,일과 직업,factory,레벨2,레벨1,O
S1-016,강철 부품 생산선,일과 직업,industry,레벨2,레벨2,
S1-016,강철 부품 생산선,일과 직업,labor,레벨2,레벨2,
S1-016,강철 부품 생산선,일과 직업,manufacture,레벨2,레벨2,
S1-016,강철 부품 생산선,일과 직업,mill,레벨2,레벨2,
S1-017,치과 재료 연구실,일과 직업,career,레벨2,레벨2,
S1-017,치과 재료 연구실,일과 직업,dentist,레벨2,레벨1,O
S1-017,치과 재료 연구실,일과 직업,expert,레벨2,레벨1,O
S1-017,치과 재료 연구실,일과 직업,lab,레벨2,레벨2,
S1-017,치과 재료 연구실,일과 직업,laboratory,레벨2,레벨2,
S1-017,치과 재료 연구실,일과 직업,profession,레벨2,레벨2,
S1-018,시 낭독 리허설,일과 직업,coach,레벨2,레벨1,O
S1-018,시 낭독 리허설,일과 직업,guard,레벨2,레벨1,O
S1-018,시 낭독 리허설,일과 직업,guest,레벨2,레벨1,O
S1-018,시 낭독 리허설,일과 직업,master,레벨2,레벨2,
S1-018,시 낭독 리허설,일과 직업,poet,레벨2,레벨2,
S1-019,어둠 속 감각실험,몸과 감각,blind,레벨2,레벨2,
S1-019,어둠 속 감각실험,몸과 감각,brain,레벨2,레벨1,O
S1-019,어둠 속 감각실험,몸과 감각,cheek,레벨2,레벨1,O
S1-019,어둠 속 감각실험,몸과 감각,glance,레벨2,레벨2,
S1-019,어둠 속 감각실험,몸과 감각,hear,레벨1,레벨1,
S1-019,어둠 속 감각실험,몸과 감각,nerve,레벨2,레벨2,
S1-019,어둠 속 감각실험,몸과 감각,sight,레벨1,레벨1,
S1-019,어둠 속 감각실험,몸과 감각,stare,레벨2,레벨2,
S1-019,어둠 속 감각실험,몸과 감각,tear,레벨2,레벨1,O
S1-020,숨과 목의 단면,몸과 감각,breast,레벨2,레벨2,
S1-020,숨과 목의 단면,몸과 감각,breath,레벨2,레벨2,
S1-020,숨과 목의 단면,몸과 감각,breathe,레벨2,레벨1,O
S1-020,숨과 목의 단면,몸과 감각,cell,레벨2,레벨2,
S1-020,숨과 목의 단면,몸과 감각,chest,레벨2,레벨1,O
S1-020,숨과 목의 단면,몸과 감각,cough,레벨2,레벨2,
S1-020,숨과 목의 단면,몸과 감각,shoulder,레벨1,레벨1,
S1-020,숨과 목의 단면,몸과 감각,throat,레벨2,레벨2,
S1-020,숨과 목의 단면,몸과 감각,tongue,레벨2,레벨2,
S1-021,몸의 움직임과 식사,몸과 감각,chew,레벨2,레벨2,
S1-021,몸의 움직임과 식사,몸과 감각,height,레벨2,레벨2,
S1-021,몸의 움직임과 식사,몸과 감각,jaw,레벨2,레벨2,
S1-021,몸의 움직임과 식사,몸과 감각,knee,레벨1,레벨1,
S1-021,몸의 움직임과 식사,몸과 감각,muscle,레벨2,레벨2,
S1-021,몸의 움직임과 식사,몸과 감각,nail,레벨2,레벨2,
S1-021,몸의 움직임과 식사,몸과 감각,stomach,레벨2,레벨1,O
S1-021,몸의 움직임과 식사,몸과 감각,swallow,레벨2,레벨1,O
S1-021,몸의 움직임과 식사,몸과 감각,toe,레벨2,레벨1,O
S1-022,의상실의 맞춤 준비,옷과 몸치장,blonde,레벨2,레벨1,O
S1-022,의상실의 맞춤 준비,옷과 몸치장,cotton,레벨2,레벨2,
S1-022,의상실의 맞춤 준비,옷과 몸치장,curl,레벨2,레벨2,
S1-022,의상실의 맞춤 준비,옷과 몸치장,glove,레벨1,레벨1,
S1-022,의상실의 맞춤 준비,옷과 몸치장,mask,레벨2,레벨2,
S1-022,의상실의 맞춤 준비,옷과 몸치장,scarf,레벨2,레벨1,O
S1-022,의상실의 맞춤 준비,옷과 몸치장,sweater,레벨1,레벨1,
S1-022,의상실의 맞춤 준비,옷과 몸치장,uniform,레벨2,레벨1,O
S1-023,출근 전 옷매무새,옷과 몸치장,bare,레벨2,레벨2,
S1-023,출근 전 옷매무새,옷과 몸치장,fit,레벨2,레벨1,O
S1-023,출근 전 옷매무새,옷과 몸치장,jeans,레벨2,레벨1,O
S1-023,출근 전 옷매무새,옷과 몸치장,pocket,레벨1,레벨1,
S1-023,출근 전 옷매무새,옷과 몸치장,shave,레벨2,레벨2,
S1-023,출근 전 옷매무새,옷과 몸치장,suit,레벨2,레벨1,O
S1-024,자동 전력 제어판,기계와 도구,automatic,레벨2,레벨1,O
S1-024,자동 전력 제어판,기계와 도구,battery,레벨2,레벨1,O
S1-024,자동 전력 제어판,기계와 도구,disc,레벨2,레벨1,O
S1-024,자동 전력 제어판,기계와 도구,electric,레벨2,레벨1,O
S1-024,자동 전력 제어판,기계와 도구,monitor,레벨2,레벨2,
S1-024,자동 전력 제어판,기계와 도구,pump,레벨2,레벨2,
S1-024,자동 전력 제어판,기계와 도구,switch,레벨1,레벨2,O
S1-024,자동 전력 제어판,기계와 도구,technology,레벨2,레벨1,O
S1-025,압연기의 힘,기계와 도구,coal,레벨2,레벨2,
S1-025,압연기의 힘,기계와 도구,force,레벨2,레벨1,O
S1-025,압연기의 힘,기계와 도구,glue,레벨2,레벨1,O
S1-025,압연기의 힘,기계와 도구,machine,레벨2,레벨1,O
S1-025,압연기의 힘,기계와 도구,metal,레벨2,레벨1,O
S1-025,압연기의 힘,기계와 도구,principle,레벨2,레벨2,
S1-025,압연기의 힘,기계와 도구,steel,레벨2,레벨2,
S1-025,압연기의 힘,기계와 도구,tool,레벨2,레벨1,O
S1-026,부품 식별 작업대,기계와 도구,click,레벨2,레벨1,O
S1-026,부품 식별 작업대,기계와 도구,code,레벨2,레벨1,O
S1-026,부품 식별 작업대,기계와 도구,element,레벨2,레벨2,
S1-026,부품 식별 작업대,기계와 도구,instrument,레벨2,레벨1,O
S1-026,부품 식별 작업대,기계와 도구,label,레벨2,레벨2,
S1-026,부품 식별 작업대,기계와 도구,net,레벨2,레벨1,O
S1-026,부품 식별 작업대,기계와 도구,screen,레벨2,레벨1,O
S1-026,부품 식별 작업대,기계와 도구,tin,레벨2,레벨2,
S1-027,두 사람의 마을광장,사람과 관계,audience,레벨2,레벨1,O
S1-027,두 사람의 마을광장,사람과 관계,citizen,레벨2,레벨1,O
S1-027,두 사람의 마을광장,사람과 관계,community,레벨2,레벨2,
S1-027,두 사람의 마을광장,사람과 관계,crowd,레벨2,레벨1,O
S1-027,두 사람의 마을광장,사람과 관계,folk,레벨2,레벨2,
S1-027,두 사람의 마을광장,사람과 관계,individual,레벨2,레벨2,
S1-027,두 사람의 마을광장,사람과 관계,native,레벨2,레벨1,O
S1-027,두 사람의 마을광장,사람과 관계,society,레벨2,레벨1,O
S1-028,원탁의 협의,사람과 관계,associate,레벨2,레벨2,
S1-028,원탁의 협의,사람과 관계,committee,레벨2,레벨1,O
S1-028,원탁의 협의,사람과 관계,contact,레벨2,레벨1,O
S1-028,원탁의 협의,사람과 관계,council,레벨2,레벨2,
S1-028,원탁의 협의,사람과 관계,involve,레벨2,레벨2,
S1-028,원탁의 협의,사람과 관계,relate,레벨2,레벨2,
S1-028,원탁의 협의,사람과 관계,respect,레벨2,레벨2,
S1-028,원탁의 협의,사람과 관계,senior,레벨2,레벨1,O
S1-029,갈라진 두 집의 약속,사람과 관계,attract,레벨2,레벨2,
S1-029,갈라진 두 집의 약속,사람과 관계,darling,레벨2,레벨2,
S1-029,갈라진 두 집의 약속,사람과 관계,depend,레벨2,레벨1,O
S1-029,갈라진 두 집의 약속,사람과 관계,divorce,레벨2,레벨2,
S1-029,갈라진 두 집의 약속,사람과 관계,engage,레벨2,레벨2,
S1-029,갈라진 두 집의 약속,사람과 관계,female,레벨2,레벨1,O
S1-029,갈라진 두 집의 약속,사람과 관계,male,레벨2,레벨1,O
S1-029,갈라진 두 집의 약속,사람과 관계,twin,레벨2,레벨2,
S1-030,이웃이 된 두 세대,사람과 관계,bond,레벨2,레벨2,
S1-030,이웃이 된 두 세대,사람과 관계,fellow,레벨2,레벨2,
S1-030,이웃이 된 두 세대,사람과 관계,junior,레벨2,레벨1,O
S1-030,이웃이 된 두 세대,사람과 관계,mate,레벨2,레벨2,
S1-030,이웃이 된 두 세대,사람과 관계,neighbor,레벨2,레벨1,O
S1-030,이웃이 된 두 세대,사람과 관계,person,레벨2,레벨1,O
S1-030,이웃이 된 두 세대,사람과 관계,slave,레벨2,레벨1,O
S1-031,성벽의 방어선,싸움과 지킴,army,레벨2,레벨2,
S1-031,성벽의 방어선,싸움과 지킴,attack,레벨2,레벨1,O
S1-031,성벽의 방어선,싸움과 지킴,battle,레벨2,레벨2,
S1-031,성벽의 방어선,싸움과 지킴,bomb,레벨2,레벨2,
S1-031,성벽의 방어선,싸움과 지킴,defense,레벨2,레벨2,
S1-031,성벽의 방어선,싸움과 지킴,enemy,레벨2,레벨2,
S1-031,성벽의 방어선,싸움과 지킴,violent,레벨2,레벨1,O
S1-031,성벽의 방어선,싸움과 지킴,weapon,레벨2,레벨2,
S1-032,도난 현장의 단서,싸움과 지킴,arrest,레벨2,레벨2,
S1-032,도난 현장의 단서,싸움과 지킴,crime,레벨2,레벨1,O
S1-032,도난 현장의 단서,싸움과 지킴,punish,레벨2,레벨2,
S1-032,도난 현장의 단서,싸움과 지킴,rob,레벨2,레벨1,O
S1-032,도난 현장의 단서,싸움과 지킴,steal,레벨2,레벨1,O
S1-032,도난 현장의 단서,싸움과 지킴,suspect,레벨2,레벨2,
S1-032,도난 현장의 단서,싸움과 지킴,thief,레벨2,레벨1,O
S1-032,도난 현장의 단서,싸움과 지킴,threat,레벨2,레벨2,
S1-033,재난 대피 통로,싸움과 지킴,escape,레벨2,레벨1,O
S1-033,재난 대피 통로,싸움과 지킴,gun,레벨2,레벨1,O
S1-033,재난 대피 통로,싸움과 지킴,harm,레벨2,레벨1,O
S1-033,재난 대피 통로,싸움과 지킴,protect,레벨2,레벨2,
S1-033,재난 대피 통로,싸움과 지킴,shelter,레벨2,레벨2,
S1-033,재난 대피 통로,싸움과 지킴,struggle,레벨2,레벨2,
S1-033,재난 대피 통로,싸움과 지킴,survive,레벨2,레벨1,O
S1-033,재난 대피 통로,싸움과 지킴,victim,레벨2,레벨2,
S1-034,광장의 평화 저항,싸움과 지킴,beat,레벨2,레벨2,
S1-034,광장의 평화 저항,싸움과 지킴,conflict,레벨2,레벨2,
S1-034,광장의 평화 저항,싸움과 지킴,evil,레벨2,레벨2,
S1-034,광장의 평화 저항,싸움과 지킴,oppose,레벨2,레벨1,O
S1-034,광장의 평화 저항,싸움과 지킴,protest,레벨2,레벨2,
S1-034,광장의 평화 저항,싸움과 지킴,resist,레벨2,레벨2,
S1-034,광장의 평화 저항,싸움과 지킴,spy,레벨2,레벨1,O
S1-034,광장의 평화 저항,싸움과 지킴,strike,레벨1,레벨1,
S1-035,증거와 판결,규칙과 사회,accuse,레벨2,레벨2,
S1-035,증거와 판결,규칙과 사회,cop,레벨2,레벨1,O
S1-035,증거와 판결,규칙과 사회,guilt,레벨2,레벨2,
S1-035,증거와 판결,규칙과 사회,innocent,레벨2,레벨2,
S1-035,증거와 판결,규칙과 사회,judge,레벨2,레벨1,O
S1-035,증거와 판결,규칙과 사회,justice,레벨2,레벨2,
S1-035,증거와 판결,규칙과 사회,law,레벨2,레벨1,O
S1-035,증거와 판결,규칙과 사회,legal,레벨2,레벨2,
S1-036,시민의 선택,규칙과 사회,civil,레벨2,레벨2,
S1-036,시민의 선택,규칙과 사회,duty,레벨2,레벨2,
S1-036,시민의 선택,규칙과 사회,elect,레벨2,레벨2,
S1-036,시민의 선택,규칙과 사회,empire,레벨2,레벨2,
S1-036,시민의 선택,규칙과 사회,govern,레벨2,레벨2,
S1-036,시민의 선택,규칙과 사회,policy,레벨2,레벨2,
S1-036,시민의 선택,규칙과 사회,politics,레벨2,레벨2,
S1-036,시민의 선택,규칙과 사회,public,레벨2,레벨1,O
S1-036,시민의 선택,규칙과 사회,vote,레벨2,레벨1,O
S1-037,공용과 전용의 경계,규칙과 사회,discipline,레벨2,레벨2,
S1-037,공용과 전용의 경계,규칙과 사회,license,레벨2,레벨2,
S1-037,공용과 전용의 경계,규칙과 사회,moral,레벨2,레벨2,
S1-037,공용과 전용의 경계,규칙과 사회,privacy,레벨2,레벨2,
S1-037,공용과 전용의 경계,규칙과 사회,private,레벨2,레벨1,O
S1-037,공용과 전용의 경계,규칙과 사회,responsible,레벨2,레벨2,
S1-037,공용과 전용의 경계,규칙과 사회,rule,레벨2,레벨1,O
S1-037,공용과 전용의 경계,규칙과 사회,standard,레벨2,레벨2,
S1-038,작은 극장의 웃음,기쁨과 슬픔,amuse,레벨2,레벨2,
S1-038,작은 극장의 웃음,기쁨과 슬픔,entertain,레벨2,레벨2,
S1-038,작은 극장의 웃음,기쁨과 슬픔,excite,레벨1,레벨1,
S1-038,작은 극장의 웃음,기쁨과 슬픔,humor,레벨2,레벨2,
S1-038,작은 극장의 웃음,기쁨과 슬픔,joy,레벨2,레벨1,O
S1-038,작은 극장의 웃음,기쁨과 슬픔,laugh,레벨1,레벨1,
S1-038,작은 극장의 웃음,기쁨과 슬픔,satisfy,레벨2,레벨1,O
S1-039,명예의 전시대,기쁨과 슬픔,admire,레벨2,레벨1,O
S1-039,명예의 전시대,기쁨과 슬픔,appreciate,레벨2,레벨1,O
S1-039,명예의 전시대,기쁨과 슬픔,glory,레벨2,레벨2,
S1-039,명예의 전시대,기쁨과 슬픔,honor,레벨2,레벨2,
S1-039,명예의 전시대,기쁨과 슬픔,pride,레벨2,레벨1,O
S1-039,명예의 전시대,기쁨과 슬픔,proud,레벨2,레벨2,
S1-040,비 온 뒤의 쉼터,기쁨과 슬픔,cheer,레벨2,레벨1,O
S1-040,비 온 뒤의 쉼터,기쁨과 슬픔,comfort,레벨2,레벨2,
S1-040,비 온 뒤의 쉼터,기쁨과 슬픔,delight,레벨2,레벨2,
S1-040,비 온 뒤의 쉼터,기쁨과 슬픔,peace,레벨1,레벨1,
S1-040,비 온 뒤의 쉼터,기쁨과 슬픔,relax,레벨2,레벨1,O
S1-040,비 온 뒤의 쉼터,기쁨과 슬픔,relief,레벨2,레벨2,
S1-041,넘어진 물감 선반,화와 두려움,anger,레벨2,레벨2,
S1-041,넘어진 물감 선반,화와 두려움,annoy,레벨2,레벨1,O
S1-041,넘어진 물감 선반,화와 두려움,bother,레벨2,레벨1,O
S1-041,넘어진 물감 선반,화와 두려움,cruel,레벨2,레벨2,
S1-041,넘어진 물감 선반,화와 두려움,rude,레벨2,레벨1,O
S1-041,넘어진 물감 선반,화와 두려움,upset,레벨2,레벨1,O
S1-042,검사실 앞의 기다림,화와 두려움,anxious,레벨2,레벨1,O
S1-042,검사실 앞의 기다림,화와 두려움,concern,레벨2,레벨1,O
S1-042,검사실 앞의 기다림,화와 두려움,fear,레벨2,레벨1,O
S1-042,검사실 앞의 기다림,화와 두려움,fright,레벨2,레벨2,
S1-042,검사실 앞의 기다림,화와 두려움,panic,레벨2,레벨1,O
S1-042,검사실 앞의 기다림,화와 두려움,scare,레벨2,레벨2,
S1-043,고장 난 관제실,화와 두려움,disturb,레벨2,레벨1,O
S1-043,고장 난 관제실,화와 두려움,frustrate,레벨2,레벨2,
S1-043,고장 난 관제실,화와 두려움,shock,레벨2,레벨1,O
S1-043,고장 난 관제실,화와 두려움,stress,레벨2,레벨2,
S1-043,고장 난 관제실,화와 두려움,tense,레벨2,레벨2,
S1-043,고장 난 관제실,화와 두려움,trouble,레벨2,레벨1,O
S1-044,식탁에 남은 한 자리,부끄러움과 미움,awkward,레벨2,레벨2,
S1-044,식탁에 남은 한 자리,부끄러움과 미움,blame,레벨2,레벨1,O
S1-044,식탁에 남은 한 자리,부끄러움과 미움,disgust,레벨2,레벨2,
S1-044,식탁에 남은 한 자리,부끄러움과 미움,embarrass,레벨2,레벨2,
S1-044,식탁에 남은 한 자리,부끄러움과 미움,ignore,레벨2,레벨2,
S1-044,식탁에 남은 한 자리,부끄러움과 미움,shame,레벨2,레벨2,
S1-044,식탁에 남은 한 자리,부끄러움과 미움,silly,레벨2,레벨1,O
S1-045,막차 뒤의 승강장,바람과 아쉬움,bore,레벨2,레벨2,
S1-045,막차 뒤의 승강장,바람과 아쉬움,depress,레벨2,레벨2,
S1-045,막차 뒤의 승강장,바람과 아쉬움,desire,레벨2,레벨2,
S1-045,막차 뒤의 승강장,바람과 아쉬움,desperate,레벨2,레벨2,
S1-045,막차 뒤의 승강장,바람과 아쉬움,disappoint,레벨2,레벨2,
S1-045,막차 뒤의 승강장,바람과 아쉬움,hesitate,레벨2,레벨2,
S1-045,막차 뒤의 승강장,바람과 아쉬움,lack,레벨2,레벨1,O
S1-045,막차 뒤의 승강장,바람과 아쉬움,pity,레벨2,레벨1,O
S1-045,막차 뒤의 승강장,바람과 아쉬움,sore,레벨2,레벨2,
S1-046,상자 속 빛의 정원,놀람과 궁금함,amaze,레벨2,레벨2,
S1-046,상자 속 빛의 정원,놀람과 궁금함,brilliant,레벨2,레벨1,O
S1-046,상자 속 빛의 정원,놀람과 궁금함,fancy,레벨2,레벨1,O
S1-046,상자 속 빛의 정원,놀람과 궁금함,gorgeous,레벨2,레벨2,
S1-046,상자 속 빛의 정원,놀람과 궁금함,magic,레벨2,레벨1,O
S1-046,상자 속 빛의 정원,놀람과 궁금함,surprise,레벨1,레벨1,
S1-047,폐성당의 단서,놀람과 궁금함,angel,레벨2,레벨1,O
S1-047,폐성당의 단서,놀람과 궁금함,clue,레벨2,레벨1,O
S1-047,폐성당의 단서,놀람과 궁금함,curious,레벨2,레벨2,
S1-047,폐성당의 단서,놀람과 궁금함,fascinate,레벨2,레벨2,
S1-047,폐성당의 단서,놀람과 궁금함,ghost,레벨2,레벨1,O
S1-047,폐성당의 단서,놀람과 궁금함,mystery,레벨2,레벨1,O
S1-048,거울 미궁의 비밀,놀람과 궁금함,fantastic,레벨2,레벨1,O
S1-048,거울 미궁의 비밀,놀람과 궁금함,hell,레벨2,레벨2,
S1-048,거울 미궁의 비밀,놀람과 궁금함,impress,레벨2,레벨1,O
S1-048,거울 미궁의 비밀,놀람과 궁금함,marvel,레벨2,레벨2,
S1-048,거울 미궁의 비밀,놀람과 궁금함,puzzle,레벨2,레벨2,
S1-048,거울 미궁의 비밀,놀람과 궁금함,strange,레벨1,레벨1,
S1-048,거울 미궁의 비밀,놀람과 궁금함,trick,레벨2,레벨1,O
S1-048,거울 미궁의 비밀,놀람과 궁금함,wonder,레벨1,레벨1,
S1-049,금이 간 다리의 검증,믿음과 의심,belief,레벨2,레벨2,
S1-049,금이 간 다리의 검증,믿음과 의심,confirm,레벨2,레벨2,
S1-049,금이 간 다리의 검증,믿음과 의심,doubt,레벨2,레벨1,O
S1-049,금이 간 다리의 검증,믿음과 의심,evidence,레벨2,레벨1,O
S1-049,금이 간 다리의 검증,믿음과 의심,faith,레벨2,레벨2,
S1-049,금이 간 다리의 검증,믿음과 의심,prove,레벨2,레벨2,
S1-049,금이 간 다리의 검증,믿음과 의심,rely,레벨2,레벨2,
S1-049,금이 간 다리의 검증,믿음과 의심,trust,레벨2,레벨1,O
S1-049,금이 간 다리의 검증,믿음과 의심,truth,레벨2,레벨1,O
S1-050,가설의 모형실,생각하기,assume,레벨2,레벨2,
S1-050,가설의 모형실,생각하기,concept,레벨2,레벨2,
S1-050,가설의 모형실,생각하기,context,레벨2,레벨1,O
S1-050,가설의 모형실,생각하기,define,레벨2,레벨2,
S1-050,가설의 모형실,생각하기,suppose,레벨2,레벨2,
S1-050,가설의 모형실,생각하기,theory,레벨2,레벨2,
S1-050,가설의 모형실,생각하기,title,레벨2,레벨1,O
