단어,뜻,출처,레벨,쓰이는장면
sheep,양,기존,레벨1,새벽 언덕의 양떼
lamb,새끼 양,기존,레벨2,새벽 언덕의 양떼
wool,양털,기존,레벨1,새벽 언덕의 양떼
oak,참나무,기존,레벨1,참나무 한 그루
trunk,줄기,기존,레벨2,참나무 한 그루
branch,가지,기존,레벨1,참나무 한 그루
leaf,잎,기존,레벨1,참나무 한 그루
root,뿌리,기존,레벨1,참나무 한 그루
seed,씨앗,기존,레벨1,참나무 한 그루
bark,나무껍질,기존,레벨2,참나무 한 그루
bush,덤불,기존,레벨1,참나무 한 그루
giraffe,기린,기존,레벨2,사바나의 기린과 얼룩말
zebra,얼룩말,기존,레벨2,사바나의 기린과 얼룩말
wild,야생의,기존,레벨1,사바나의 기린과 얼룩말
desert,사막,기존,레벨1,사바나의 기린과 얼룩말
dust,먼지,기존,레벨1,사바나의 기린과 얼룩말
soil,흙,기존,레벨2,사바나의 기린과 얼룩말
pile,더미,기존,레벨1,사바나의 기린과 얼룩말
edge,조각칼의 날,기존,레벨2,사바나의 기린과 얼룩말
noon,정오,기존,레벨1,사바나의 기린과 얼룩말
bloom,피다,기존,레벨1,꽃 피는 덤불과 벌레
ant,개미,기존,레벨2,꽃 피는 덤불과 벌레
bug,벌레,기존,레벨1,꽃 피는 덤불과 벌레
wing,날개,기존,레벨2,꽃 피는 덤불과 벌레
nest,둥지,기존,레벨1,꽃 피는 덤불과 벌레
feed,먹이다,기존,레벨1,꽃 피는 덤불과 벌레
spot,점,기존,레벨1,꽃 피는 덤불과 벌레
plant,식물,기존,레벨1,꽃 피는 덤불과 벌레
frog,개구리,기존,레벨1,늪가의 개구리
mud,진흙,기존,레벨2,늪가의 개구리
hole,구멍,기존,레벨1,늪가의 개구리
dirt,흙,기존,레벨2,늪가의 개구리
log,통나무,기존,레벨2,늪가의 개구리
snake,뱀,기존,레벨1,늪가의 개구리
rat,쥐,기존,레벨1,늪가의 개구리
shade,그늘,기존,레벨1,늪가의 개구리
countryside,시골,기존,레벨1,시골길과 열기구
lane,좁은 길,기존,레벨1,시골길과 열기구
route,운행 노선,기존,레벨2,시골길과 열기구
highway,큰길·고속도로,기존,레벨1,시골길과 열기구
pole,회전축 기둥,기존,레벨2,시골길과 열기구
balloon,열기구,기존,레벨1,시골길과 열기구
square,네모,기존,레벨1,시골길과 열기구
pine,소나무,기존,레벨2,시골길과 열기구
captain,선장,신규,레벨1,부두의 진급식
chief,우두머리,신규,레벨2,부두의 진급식
military,군대의,신규,레벨1,부두의 진급식
officer,장교,기존,레벨1,부두의 진급식
soldier,군인,기존,레벨1,부두의 진급식
promote,승진시키다,신규,레벨2,부두의 진급식
boss,상사,신규,레벨1,채용을 결정하는 회의실
chairman,의장,신규,레벨1,채용을 결정하는 회의실
client,고객,신규,레벨2,채용을 결정하는 회의실
employ,일을 시키다,기존,레벨2,채용을 결정하는 회의실
hire,사람을 쓰다,기존,레벨2,채용을 결정하는 회의실
secretary,비서,기존,레벨1,채용을 결정하는 회의실
agent,대리인,기존,레벨1,무료 법률상담 사무소
clerk,직원,신규,레벨1,무료 법률상담 사무소
firm,단단한,기존,레벨2,무료 법률상담 사무소
lawyer,변호사,신규,레벨1,무료 법률상담 사무소
volunteer,자원하는 사람,기존,레벨2,무료 법률상담 사무소
engineer,기술자,신규,레벨1,강철 부품 생산선
factory,공장,기존,레벨1,강철 부품 생산선
industry,산업,신규,레벨2,강철 부품 생산선
labor,노동,신규,레벨2,강철 부품 생산선
manufacture,제조하다,신규,레벨2,강철 부품 생산선
mill,방앗간,신규,레벨2,강철 부품 생산선
career,경력,신규,레벨2,치과 재료 연구실
dentist,치과 의사,기존,레벨1,치과 재료 연구실
expert,전문가,기존,레벨1,치과 재료 연구실
lab,실험실,신규,레벨2,치과 재료 연구실
laboratory,실험실,신규,레벨2,치과 재료 연구실
profession,직업,신규,레벨2,치과 재료 연구실
coach,지도자,기존,레벨1,시 낭독 리허설
guard,경비병,기존,레벨1,시 낭독 리허설
guest,손님,신규,레벨1,시 낭독 리허설
master,달인,기존,레벨2,시 낭독 리허설
poet,시인,신규,레벨2,시 낭독 리허설
blind,눈먼,신규,레벨2,어둠 속 감각실험
brain,뇌,신규,레벨1,어둠 속 감각실험
cheek,볼,기존,레벨1,어둠 속 감각실험
glance,흘긋 보다,기존,레벨2,어둠 속 감각실험
hear,소리에 귀 기울이다,기존,레벨1,어둠 속 감각실험
nerve,그물망 날개맥,기존,레벨2,어둠 속 감각실험
sight,시야,기존,레벨1,어둠 속 감각실험
stare,응시하다,기존,레벨2,어둠 속 감각실험
tear,눈물,신규,레벨1,어둠 속 감각실험
breast,가슴 깃털,기존,레벨2,숨과 목의 단면
breath,숨,신규,레벨2,숨과 목의 단면
breathe,숨 쉬다,기존,레벨1,숨과 목의 단면
cell,등껍질 조직,기존,레벨2,숨과 목의 단면
chest,단단한 가슴,기존,레벨1,숨과 목의 단면
cough,기침,기존,레벨2,숨과 목의 단면
shoulder,어깨,기존,레벨1,숨과 목의 단면
throat,목구멍,신규,레벨2,숨과 목의 단면
tongue,혀,기존,레벨2,숨과 목의 단면
chew,씹다,기존,레벨2,몸의 움직임과 식사
height,높이,기존,레벨2,몸의 움직임과 식사
jaw,턱,기존,레벨2,몸의 움직임과 식사
knee,무릎,신규,레벨1,몸의 움직임과 식사
muscle,꼬리 마디,기존,레벨2,몸의 움직임과 식사
nail,발톱 끝,기존,레벨2,몸의 움직임과 식사
stomach,배,기존,레벨1,몸의 움직임과 식사
swallow,제비,기존,레벨1,몸의 움직임과 식사
toe,배다리 발끝,기존,레벨1,몸의 움직임과 식사
blonde,금발,기존,레벨1,의상실의 맞춤 준비
cotton,면,기존,레벨2,의상실의 맞춤 준비
curl,감기다,기존,레벨2,의상실의 맞춤 준비
glove,장갑,기존,레벨1,의상실의 맞춤 준비
mask,마스크,기존,레벨2,의상실의 맞춤 준비
scarf,목도리,기존,레벨1,의상실의 맞춤 준비
sweater,스웨터,기존,레벨1,의상실의 맞춤 준비
uniform,제복,기존,레벨1,의상실의 맞춤 준비
bare,드러난,기존,레벨2,출근 전 옷매무새
fit,맞다,기존,레벨1,출근 전 옷매무새
jeans,청바지,기존,레벨1,출근 전 옷매무새
pocket,주머니,기존,레벨1,출근 전 옷매무새
shave,면도하다,기존,레벨2,출근 전 옷매무새
suit,정장,기존,레벨1,출근 전 옷매무새
automatic,자동의,신규,레벨1,자동 전력 제어판
battery,전지·배터리,기존,레벨1,자동 전력 제어판
disc,둥근 판,기존,레벨1,자동 전력 제어판
electric,electric·학습,기존,레벨1,자동 전력 제어판
monitor,화면,신규,레벨2,자동 전력 제어판
pump,펌프,신규,레벨2,자동 전력 제어판
switch,스위치,신규,레벨2,자동 전력 제어판
technology,기술,신규,레벨1,자동 전력 제어판
coal,석탄,신규,레벨2,압연기의 힘
force,밀어붙이는 힘,기존,레벨1,압연기의 힘
glue,glue·음악,기존,레벨1,압연기의 힘
machine,재봉틀·기계,기존,레벨1,압연기의 힘
metal,황동 링 금속,기존,레벨1,압연기의 힘
principle,원칙,기존,레벨2,압연기의 힘
steel,강철 본체,기존,레벨2,압연기의 힘
tool,연장,기존,레벨1,압연기의 힘
click,딸깍 누르다,신규,레벨1,부품 식별 작업대
code,암호,신규,레벨1,부품 식별 작업대
element,원소,기존,레벨2,부품 식별 작업대
instrument,기구,기존,레벨1,부품 식별 작업대
label,이름표,신규,레벨2,부품 식별 작업대
net,그물,기존,레벨1,부품 식별 작업대
screen,화면,기존,레벨1,부품 식별 작업대
tin,통조림 깡통,기존,레벨2,부품 식별 작업대
audience,관객,기존,레벨1,두 사람의 마을광장
citizen,시민,신규,레벨1,두 사람의 마을광장
community,마을 사람들,기존,레벨2,두 사람의 마을광장
crowd,군중,신규,레벨1,두 사람의 마을광장
folk,민요·사람들,기존,레벨2,두 사람의 마을광장
individual,한 사람,기존,레벨2,두 사람의 마을광장
native,본디 그곳의,기존,레벨1,두 사람의 마을광장
society,사회,기존,레벨1,두 사람의 마을광장
associate,어울리다,기존,레벨2,원탁의 협의
committee,위원회,기존,레벨1,원탁의 협의
contact,닿다,기존,레벨1,원탁의 협의
council,의회,기존,레벨2,원탁의 협의
involve,끌어들이다,기존,레벨2,원탁의 협의
relate,관련짓다,신규,레벨2,원탁의 협의
respect,존중하다,신규,레벨2,원탁의 협의
senior,손위의,신규,레벨1,원탁의 협의
attract,끌어당기다,기존,레벨2,갈라진 두 집의 약속
darling,귀염둥이,기존,레벨2,갈라진 두 집의 약속
depend,기대다,기존,레벨1,갈라진 두 집의 약속
divorce,이혼,신규,레벨2,갈라진 두 집의 약속
engage,약혼하다,신규,레벨2,갈라진 두 집의 약속
female,여자의,신규,레벨1,갈라진 두 집의 약속
male,남자의,신규,레벨1,갈라진 두 집의 약속
twin,쌍둥이,신규,레벨2,갈라진 두 집의 약속
bond,유대,신규,레벨2,이웃이 된 두 세대
fellow,친구·동료,기존,레벨2,이웃이 된 두 세대
junior,손아래의,기존,레벨1,이웃이 된 두 세대
mate,벗·친구,기존,레벨2,이웃이 된 두 세대
neighbor,이웃,기존,레벨1,이웃이 된 두 세대
person,사람,기존,레벨1,이웃이 된 두 세대
slave,종,기존,레벨1,이웃이 된 두 세대
army,군대,기존,레벨2,성벽의 방어선
attack,공격하다,기존,레벨1,성벽의 방어선
battle,싸움,기존,레벨2,성벽의 방어선
bomb,폭탄,신규,레벨2,성벽의 방어선
defense,씨앗 방어,기존,레벨2,성벽의 방어선
enemy,적,신규,레벨2,성벽의 방어선
violent,난폭한,신규,레벨1,성벽의 방어선
weapon,무기,기존,레벨2,성벽의 방어선
arrest,체포하다,신규,레벨2,도난 현장의 단서
crime,범죄,신규,레벨1,도난 현장의 단서
punish,벌하다,신규,레벨2,도난 현장의 단서
rob,빼앗다,신규,레벨1,도난 현장의 단서
steal,훔치다,기존,레벨1,도난 현장의 단서
suspect,의심하다,기존,레벨2,도난 현장의 단서
thief,도둑,기존,레벨1,도난 현장의 단서
threat,위협,신규,레벨2,도난 현장의 단서
escape,탈출·떠나다,기존,레벨1,재난 대피 통로
gun,총,기존,레벨1,재난 대피 통로
harm,해치다,신규,레벨1,재난 대피 통로
protect,지키다,기존,레벨2,재난 대피 통로
shelter,보금자리,기존,레벨2,재난 대피 통로
struggle,안간힘 쓰다,기존,레벨2,재난 대피 통로
survive,견디어 내다,기존,레벨1,재난 대피 통로
victim,피해자,신규,레벨2,재난 대피 통로
beat,박자·박동,기존,레벨2,광장의 평화 저항
conflict,다툼,기존,레벨2,광장의 평화 저항
evil,악한,신규,레벨2,광장의 평화 저항
oppose,반대하다,신규,레벨1,광장의 평화 저항
protest,항의하다,신규,레벨2,광장의 평화 저항
resist,저항하다,신규,레벨2,광장의 평화 저항
spy,첩자,신규,레벨1,광장의 평화 저항
strike,봉을 내려치다,기존,레벨1,광장의 평화 저항
accuse,탓하여 고발하다,기존,레벨2,증거와 판결
cop,경찰,신규,레벨1,증거와 판결
guilt,죄,기존,레벨2,증거와 판결
innocent,죄 없는,신규,레벨2,증거와 판결
judge,판사·판결,기존,레벨1,증거와 판결
justice,정의,신규,레벨2,증거와 판결
law,법·법률,기존,레벨1,증거와 판결
legal,법의,기존,레벨2,증거와 판결
civil,시민의,신규,레벨2,시민의 선택
duty,임무,기존,레벨2,시민의 선택
elect,elect·학습,기존,레벨2,시민의 선택
empire,제국,기존,레벨2,시민의 선택
govern,다스리다,기존,레벨2,시민의 선택
policy,정책,신규,레벨2,시민의 선택
politics,정치,기존,레벨2,시민의 선택
public,공공의,신규,레벨1,시민의 선택
vote,표를 던지다,기존,레벨1,시민의 선택
discipline,규율,신규,레벨2,공용과 전용의 경계
license,허가증,기존,레벨2,공용과 전용의 경계
moral,도덕의,신규,레벨2,공용과 전용의 경계
privacy,사생활,신규,레벨2,공용과 전용의 경계
private,사적인,신규,레벨1,공용과 전용의 경계
responsible,책임 있는,기존,레벨2,공용과 전용의 경계
rule,규칙·원칙,기존,레벨1,공용과 전용의 경계
standard,기준,신규,레벨2,공용과 전용의 경계
amuse,재미있게 하다,기존,레벨2,작은 극장의 웃음
entertain,즐겁게 하다,기존,레벨2,작은 극장의 웃음
excite,들뜨게 하다,신규,레벨1,작은 극장의 웃음
humor,해학·유머,기존,레벨2,작은 극장의 웃음
joy,기쁨,기존,레벨1,작은 극장의 웃음
laugh,웃다,기존,레벨1,작은 극장의 웃음
satisfy,만족시키다,기존,레벨1,작은 극장의 웃음
admire,우러러보다,기존,레벨1,명예의 전시대
appreciate,고마워하다,기존,레벨1,명예의 전시대
glory,영광,기존,레벨2,명예의 전시대
honor,명예·영예,기존,레벨2,명예의 전시대
pride,자부심·자긍심,기존,레벨1,명예의 전시대
proud,자랑스러운,기존,레벨2,명예의 전시대
cheer,환호하다,기존,레벨1,비 온 뒤의 쉼터
comfort,편안함,기존,레벨2,비 온 뒤의 쉼터
delight,즐거움,기존,레벨2,비 온 뒤의 쉼터
peace,평화,기존,레벨1,비 온 뒤의 쉼터
relax,긴장을 풀다,기존,레벨1,비 온 뒤의 쉼터
relief,안도,기존,레벨2,비 온 뒤의 쉼터
anger,화,기존,레벨2,넘어진 물감 선반
annoy,짜증나게 하다,기존,레벨1,넘어진 물감 선반
bother,성가시게 하다,신규,레벨1,넘어진 물감 선반
cruel,모진,기존,레벨2,넘어진 물감 선반
rude,버릇없는,기존,레벨1,넘어진 물감 선반
upset,속상한,기존,레벨1,넘어진 물감 선반
anxious,불안한,기존,레벨1,검사실 앞의 기다림
concern,걱정,기존,레벨1,검사실 앞의 기다림
fear,두려움,기존,레벨1,검사실 앞의 기다림
fright,놀람,신규,레벨2,검사실 앞의 기다림
panic,겁에 질림,기존,레벨1,검사실 앞의 기다림
scare,겁주다,신규,레벨2,검사실 앞의 기다림
disturb,방해하다,신규,레벨1,고장 난 관제실
frustrate,애타게 하다,기존,레벨2,고장 난 관제실
shock,충격,기존,레벨1,고장 난 관제실
stress,압박,신규,레벨2,고장 난 관제실
tense,긴장한,신규,레벨2,고장 난 관제실
trouble,걱정거리,기존,레벨1,고장 난 관제실
awkward,어색한,기존,레벨2,식탁에 남은 한 자리
blame,탓하다,신규,레벨1,식탁에 남은 한 자리
disgust,역겨움,기존,레벨2,식탁에 남은 한 자리
embarrass,부끄럽게 하다,기존,레벨2,식탁에 남은 한 자리
ignore,무시하다,신규,레벨2,식탁에 남은 한 자리
shame,부끄러움,기존,레벨2,식탁에 남은 한 자리
silly,어리석은,신규,레벨1,식탁에 남은 한 자리
bore,지루하게 하다,신규,레벨2,막차 뒤의 승강장
depress,기운을 꺾다,기존,레벨2,막차 뒤의 승강장
desire,바람,기존,레벨2,막차 뒤의 승강장
desperate,절박한,기존,레벨2,막차 뒤의 승강장
disappoint,실망시키다,기존,레벨2,막차 뒤의 승강장
hesitate,망설이다,기존,레벨2,막차 뒤의 승강장
lack,부족,신규,레벨1,막차 뒤의 승강장
pity,안타까움,신규,레벨1,막차 뒤의 승강장
sore,아픈,신규,레벨2,막차 뒤의 승강장
amaze,깜짝 놀라게 하다,기존,레벨2,상자 속 빛의 정원
brilliant,눈부신,기존,레벨1,상자 속 빛의 정원
fancy,상상,기존,레벨1,상자 속 빛의 정원
gorgeous,눈부신,기존,레벨2,상자 속 빛의 정원
magic,마법,기존,레벨1,상자 속 빛의 정원
surprise,놀라게 하다,신규,레벨1,상자 속 빛의 정원
angel,천사,기존,레벨1,폐성당의 단서
clue,단서,기존,레벨1,폐성당의 단서
curious,궁금한,기존,레벨2,폐성당의 단서
fascinate,마음을 사로잡다,기존,레벨2,폐성당의 단서
ghost,유령,기존,레벨1,폐성당의 단서
mystery,수수께끼,기존,레벨1,폐성당의 단서
fantastic,환상적인,기존,레벨1,거울 미궁의 비밀
hell,지옥,신규,레벨2,거울 미궁의 비밀
impress,감동시키다,신규,레벨1,거울 미궁의 비밀
marvel,놀라운 것,기존,레벨2,거울 미궁의 비밀
puzzle,수수께끼,기존,레벨2,거울 미궁의 비밀
strange,이상한,기존,레벨1,거울 미궁의 비밀
trick,속임수,기존,레벨1,거울 미궁의 비밀
wonder,신기해하다,기존,레벨1,거울 미궁의 비밀
belief,믿음,기존,레벨2,금이 간 다리의 검증
confirm,확인하다,기존,레벨2,금이 간 다리의 검증
doubt,의심,기존,레벨1,금이 간 다리의 검증
evidence,evidence·음악,기존,레벨1,금이 간 다리의 검증
faith,믿음,기존,레벨2,금이 간 다리의 검증
prove,증명하다,신규,레벨2,금이 간 다리의 검증
rely,의지하다,신규,레벨2,금이 간 다리의 검증
trust,믿다,신규,레벨1,금이 간 다리의 검증
truth,진실,신규,레벨1,금이 간 다리의 검증
assume,그러려니 하다,기존,레벨2,가설의 모형실
concept,개념,기존,레벨2,가설의 모형실
context,앞뒤 사정,기존,레벨1,가설의 모형실
define,뜻을 밝히다,기존,레벨2,가설의 모형실
suppose,추측하다,신규,레벨2,가설의 모형실
theory,이론,기존,레벨2,가설의 모형실
title,title·날씨,기존,레벨1,가설의 모형실
attention,주의,기존,레벨1,세밀 관찰대
concentrate,집중하다,기존,레벨1,세밀 관찰대
confuse,헷갈리게 하다,기존,레벨1,세밀 관찰대
detect,알아내다,기존,레벨2,세밀 관찰대
examine,살펴보다,기존,레벨2,세밀 관찰대
inspect,검사하다,기존,레벨2,세밀 관찰대
notice,알아채다,신규,레벨1,세밀 관찰대
consider,곰곰이 생각하다,기존,레벨1,사라진 물길 조사
determine,결정하다,기존,레벨2,사라진 물길 조사
investigate,조사하다,신규,레벨2,사라진 물길 조사
method,방법,신규,레벨1,사라진 물길 조사
observe,관찰하다,기존,레벨2,사라진 물길 조사
reason,까닭,기존,레벨1,사라진 물길 조사
solve,풀다,신규,레벨1,사라진 물길 조사
strategy,전략,신규,레벨1,사라진 물길 조사
attitude,태도,기존,레벨1,서로 다른 해석
imagine,상상하다,기존,레벨1,서로 다른 해석
opinion,의견,기존,레벨1,서로 다른 해석
recognize,알아보다,신규,레벨2,서로 다른 해석
regard,여기다,기존,레벨2,서로 다른 해석
remind,떠올리게 하다,신규,레벨1,서로 다른 해석
tend,~하는 경향이 있다,신규,레벨2,서로 다른 해석
analysis,분석,기존,레벨2,자료실의 분류벽
arrange,정리하다,기존,레벨2,자료실의 분류벽
article,기사,기존,레벨1,자료실의 분류벽
catalog,목록,기존,레벨2,자료실의 분류벽
chart,도표,기존,레벨1,자료실의 분류벽
graph,그래프,기존,레벨2,자료실의 분류벽
list,명단,기존,레벨1,자료실의 분류벽
magazine,잡지,기존,레벨1,자료실의 분류벽
topic,이야깃거리,기존,레벨1,자료실의 분류벽
clip,집게,기존,레벨2,자료실의 분류벽
assess,헤아려 매기다,기존,레벨2,무대 원고 편집실
comedy,희극,기존,레벨2,무대 원고 편집실
drama,드라마,기존,레벨1,무대 원고 편집실
edit,편집하다,기존,레벨2,무대 원고 편집실
language,언어,기존,레벨1,무대 원고 편집실
poem,시,기존,레벨1,무대 원고 편집실
scene,장면,기존,레벨1,무대 원고 편집실
spell,철자,기존,레벨1,무대 원고 편집실
text,글자,기존,레벨1,무대 원고 편집실
transfer,옮기다,신규,레벨2,무대 원고 편집실
diary,일기장,기존,레벨1,여행기록 보존대
dictionary,사전,기존,레벨1,여행기록 보존대
document,문서,기존,레벨2,여행기록 보존대
envelope,봉투,기존,레벨1,여행기록 보존대
essay,수필,기존,레벨1,여행기록 보존대
object,사물,기존,레벨2,여행기록 보존대
photograph,사진,기존,레벨1,여행기록 보존대
record,기록하다,기존,레벨1,여행기록 보존대
register,등록하다,신규,레벨2,여행기록 보존대
photo,사진,신규,레벨1,여행기록 보존대
attend,참석하다,기존,레벨2,도예 수업 평가
educate,교육하다,신규,레벨2,도예 수업 평가
experiment,실험,기존,레벨2,도예 수업 평가
grade,등급,기존,레벨1,도예 수업 평가
knowledge,지식,신규,레벨1,도예 수업 평가
practice,practice·날씨,기존,레벨1,도예 수업 평가
research,연구,기존,레벨1,도예 수업 평가
experience,경험,신규,레벨1,강물 측정 실습
measure,무게를 재다,기존,레벨2,강물 측정 실습
skill,솜씨,기존,레벨1,강물 측정 실습
subject,과목,신규,레벨1,강물 측정 실습
survey,측량하다,기존,레벨1,강물 측정 실습
technique,기술,기존,레벨2,강물 측정 실습
attach,붙이다,기존,레벨2,현수교 조립대
bind,묶어 두다,기존,레벨2,현수교 조립대
combine,엇갈려 짜이다,기존,레벨2,현수교 조립대
connect,잇다,기존,레벨2,현수교 조립대
copy,복사하다,신규,레벨1,현수교 조립대
establish,세우다,신규,레벨1,현수교 조립대
found,세우다,기존,레벨2,현수교 조립대
link,잇다,기존,레벨2,현수교 조립대
bend,휘다,기존,레벨1,깨진 자전거 수리
block,토막,기존,레벨1,깨진 자전거 수리
burst,터지다,신규,레벨2,깨진 자전거 수리
crack,깨뜨리다,기존,레벨2,깨진 자전거 수리
damage,손상,신규,레벨2,깨진 자전거 수리
repair,고치다,신규,레벨1,깨진 자전거 수리
replace,바꿔 놓다,기존,레벨1,깨진 자전거 수리
snap,싹둑 자르다,기존,레벨2,깨진 자전거 수리
crash,충돌,기존,레벨2,폭풍 뒤 온실 재건
create,만들어 내다,기존,레벨1,폭풍 뒤 온실 재건
decorate,꾸미다,신규,레벨2,폭풍 뒤 온실 재건
destroy,부수다,기존,레벨1,폭풍 뒤 온실 재건
develop,자라다,기존,레벨1,폭풍 뒤 온실 재건
invent,발명하다,신규,레벨1,폭풍 뒤 온실 재건
produce,생산하다,신규,레벨1,폭풍 뒤 온실 재건
smash,박살내다,기존,레벨2,폭풍 뒤 온실 재건
direct,이끌다,기존,레벨1,돛 제작 작업대
divide,가르다,기존,레벨1,돛 제작 작업대
fold,접히다,기존,레벨2,돛 제작 작업대
remove,쳐내다,기존,레벨2,돛 제작 작업대
ruin,폐허,기존,레벨1,돛 제작 작업대
sew,바느질하다,기존,레벨1,돛 제작 작업대
spoil,망치다,기존,레벨2,돛 제작 작업대
stick,붙이다,신규,레벨2,돛 제작 작업대
accept,받아들이다,기존,레벨1,산골 구호품 전달
allow,허락하다,기존,레벨1,산골 구호품 전달
deliver,배달하다,신규,레벨2,산골 구호품 전달
deserve,받을 만하다,기존,레벨2,산골 구호품 전달
donate,기부하다,신규,레벨2,산골 구호품 전달
exchange,교환하다,신규,레벨1,산골 구호품 전달
gift,선물,신규,레벨1,산골 구호품 전달
lend,빌려주다,신규,레벨1,산골 구호품 전달
contribute,보태다,기존,레벨2,공동우물의 물 배분
offer,제안하다,신규,레벨1,공동우물의 물 배분
provide,대어 주다,기존,레벨1,공동우물의 물 배분
receive,받다,신규,레벨1,공동우물의 물 배분
refuse,거절하다,기존,레벨2,공동우물의 물 배분
reserve,예약하다,신규,레벨2,공동우물의 물 배분
share,나누다,신규,레벨1,공동우물의 물 배분
belong,속하다,신규,레벨1,박물관 보관함의 주인
contain,담고 있다,기존,레벨2,박물관 보관함의 주인
gain,거두다,기존,레벨2,박물관 보관함의 주인
include,포함하다,기존,레벨1,박물관 보관함의 주인
lose,잃다,신규,레벨1,박물관 보관함의 주인
maintain,그대로 지키다,기존,레벨2,박물관 보관함의 주인
own,소유하다,신규,레벨1,박물관 보관함의 주인
possess,지니다,기존,레벨2,박물관 보관함의 주인
advance,나아가다,신규,레벨2,항구로 들어오는 배
appear,나타나다,기존,레벨1,항구로 들어오는 배
approach,다가가다,기존,레벨2,항구로 들어오는 배
leave,떠나다,신규,레벨1,항구로 들어오는 배
proceed,진행하다,신규,레벨2,항구로 들어오는 배
progress,멀리 나아가다,기존,레벨2,항구로 들어오는 배
reach,닿다,기존,레벨1,항구로 들어오는 배
retire,물러나다,기존,레벨1,항구로 들어오는 배
aim,겨누다,기존,레벨2,산악구조 임무 배정
appoint,정하다,기존,레벨2,산악구조 임무 배정
assign,맡기다,기존,레벨2,산악구조 임무 배정
order,질서·명령,기존,레벨1,산악구조 임무 배정
prepare,준비하다,기존,레벨1,산악구조 임무 배정
target,목표점·방향,기존,레벨1,산악구조 임무 배정
choice,선택,신규,레벨1,정원 나무 선택
prefer,더 좋아하다,기존,레벨1,정원 나무 선택
schedule,일정,신규,레벨1,정원 나무 선택
select,골라내다,기존,레벨2,정원 나무 선택
settle,자리 잡다,기존,레벨2,정원 나무 선택
identity,정체,신규,레벨2,산속 샘의 근원 추적
locate,위치를 찾다,신규,레벨2,산속 샘의 근원 추적
resource,자원,신규,레벨2,산속 샘의 근원 추적
search,탐색하다·찾다,기존,레벨1,산속 샘의 근원 추적
seek,찾다·구하다,기존,레벨1,산속 샘의 근원 추적
source,근원,기존,레벨1,산속 샘의 근원 추적
trace,자취,기존,레벨2,산속 샘의 근원 추적
aid,도움,기존,레벨2,산악 응급치료소
assist,돕다,신규,레벨2,산악 응급치료소
cure,낫게 하다,기존,레벨2,산악 응급치료소
recover,회복하다,신규,레벨2,산악 응급치료소
