단어,뜻,레벨,쓰이는장면
rocket,로켓,레벨2,탐사선의 임무
emphasize,강조하다,레벨2,씨앗 실험의 성패
occur,일어나다,레벨2,씨앗 실험의 성패
role,역할,레벨1,씨앗 실험의 성패
succeed,성공하다,레벨1,씨앗 실험의 성패
success,성공,레벨1,씨앗 실험의 성패
illustrate,설명하다,레벨2,숨은 벽화의 발견
parade,행진,레벨2,광장 악단의 집합과 해산
circumstance,상황,레벨2,전통시장과 현대상점
domestic,국내의,레벨2,전통시장과 현대상점
fashion,유행,레벨1,전통시장과 현대상점
foreign,외국의,레벨1,전통시장과 현대상점
ordinary,평범한,레벨2,전통시장과 현대상점
popular,인기 있는,레벨1,전통시장과 현대상점
tradition,전통,레벨1,전통시장과 현대상점
obvious,분명한,레벨2,도시 운영 모형
situate,자리잡게 하다,레벨2,도시 운영 모형
social,사회의,레벨1,도시 운영 모형
state,상태,레벨1,도시 운영 모형
system,체계,레벨1,도시 운영 모형
version,판,레벨2,도시 운영 모형
boom,쿵 소리,레벨2,항구의 소리 지도
champion,우승자,레벨2,골프 리그 결승
golf,골프,레벨1,골프 리그 결승
cast,던지다,레벨2,왕궁 대관식 홀
castle,성,레벨1,왕궁 대관식 홀
royal,왕실의,레벨1,왕궁 대관식 홀
character,성격,레벨1,동물구조 자원봉사자
charm,매력,레벨2,동물구조 자원봉사자
teenage,십대의,레벨1,동물구조 자원봉사자
handsome,잘생긴,레벨1,졸업사진 준비
smart,영리한,레벨1,졸업사진 준비
wise,슬기로운,레벨1,졸업사진 준비
accident,사고,레벨1,교차로 사고 예방
alarm,경보,레벨1,교차로 사고 예방
ambulance,구급차,레벨2,교차로 사고 예방
avoid,피하다,레벨1,교차로 사고 예방
crisis,위기,레벨2,교차로 사고 예방
prevent,막다,레벨1,교차로 사고 예방
explain,설명하다,레벨1,화산 관측 브리핑
inform,알리다,레벨2,화산 관측 브리핑
mention,언급하다,레벨1,유물 발견 보고
quote,인용하다,레벨2,유물 발견 보고
refer,참고하다,레벨1,유물 발견 보고
remark,말하다,레벨2,유물 발견 보고
represent,대표하다,레벨1,유물 발견 보고
claim,주장하다,레벨1,두 설계안의 공개토론
insist,우기다,레벨2,두 설계안의 공개토론
beg,간청하다,레벨1,산길 구조 요청
hint,귀띔,레벨2,산길 구조 요청
request,요청,레벨1,산길 구조 요청
require,요구하다,레벨2,산길 구조 요청
excuse,변명,레벨1,공방의 정중한 제안
greet,인사하다,레벨1,공방의 정중한 제안
promise,약속,레벨1,공방의 정중한 제안
instruct,지시하다,레벨2,폭풍 속 무전 지시
joke,농담,레벨1,폭풍 속 무전 지시
pretend,~인 척하다,레벨1,폭풍 속 무전 지시
tip,조언,레벨1,폭풍 속 무전 지시
whisper,속삭이다,레벨2,폭풍 속 무전 지시
pray,기도하다,레벨1,마을 이야기 무대
reply,대답하다,레벨1,마을 이야기 무대
sentence,문장,레벨1,마을 이야기 무대
speech,연설,레벨1,마을 이야기 무대
even,심지어,레벨1,갈림길의 두 선택
neither,둘 다 아닌,레벨2,갈림길의 두 선택
whole,전체의,레벨1,갈림길의 두 선택
instead,대신에,레벨1,실패 뒤의 대안
let,~하게 하다,레벨1,실패 뒤의 대안
nor,~도 아닌,레벨2,실패 뒤의 대안
otherwise,그렇지 않으면,레벨2,실패 뒤의 대안
ought,마땅히 ~해야 한다,레벨2,실패 뒤의 대안
rather,오히려,레벨1,실패 뒤의 대안
shall,~할 것이다,레벨1,실패 뒤의 대안
though,비록,레벨1,원인과 결론의 도미노
thus,그러므로,레벨2,원인과 결론의 도미노
would,~일 것이다,레벨1,원인과 결론의 도미노
basis,기초,레벨2,기록보관소 접근등급
brief,짧은,레벨2,기록보관소 접근등급
item,항목,레벨1,기록보관소 접근등급
section,부분,레벨1,기록보관소 접근등급
session,시간,레벨2,기록보관소 접근등급
characteristic,특징,레벨2,식물 표본의 공통점
common,흔한,레벨1,식물 표본의 공통점
interest,관심,레벨1,식물 표본의 공통점
final,마지막의,레벨1,탐사구역 최종판정
instance,예,레벨2,탐사구역 최종판정
manner,방식,레벨1,탐사구역 최종판정
maybe,아마도,레벨1,탐사구역 최종판정
mean,뜻하다,레벨1,탐사구역 최종판정
nowhere,아무데도 없는,레벨2,탐사구역 최종판정
perhaps,아마,레벨1,탐사구역 최종판정
ever,언제든,레벨1,여러 재료의 강도범위
other,다른,레벨1,여러 재료의 강도범위
probable,있음직한,레벨2,여러 재료의 강도범위
somewhat,다소,레벨2,여러 재료의 강도범위
such,그런,레벨1,여러 재료의 강도범위
various,여러 가지의,레벨2,여러 재료의 강도범위
knock,두드리다,레벨1,작업대의 여러 손동작
pitch,음높이,레벨2,작업대의 여러 손동작
scratch,긁다,레벨2,작업대의 여러 손동작
throw,던지다,레벨1,작업대의 여러 손동작
bow,절하다,레벨2,모래언덕 추격
motion,움직임,레벨2,모래언덕 추격
shoot,쏘다,레벨1,모래언덕 추격
shake,흔들다,레벨1,체조 회전 연습
recipe,조리법,레벨2,아침 조리대
menu,차림표,레벨1,소스 혼합대
bitter,쓴,레벨2,소스 혼합대
price,값,레벨1,소스 혼합대
budget,예산,레벨1,가계 저울
expense,비용,레벨2,가계 저울
fee,요금,레벨1,가계 저울
finance,재정,레벨2,가계 저울
stamp,우표,레벨1,가계 저울
fund,자금,레벨2,위험을 나누는 금고
loan,대출,레벨2,위험을 나누는 금고
loss,손실,레벨2,위험을 나누는 금고
profit,이익,레벨2,위험을 나누는 금고
charge,값을 매기다,레벨2,위험을 나누는 금고
tax,세금,레벨2,노동의 몫
value,가치,레벨1,노동의 몫
worth,가치 있는,레벨2,노동의 몫
brand,상표,레벨1,약속의 시장 천칭
guarantee,보증,레벨2,약속의 시장 천칭
property,재산,레벨2,창고 순환 시장
purchase,구입하다,레벨2,창고 순환 시장
rent,빌리다,레벨1,창고 순환 시장
sponsor,후원자,레벨2,창고 순환 시장
stock,주식,레벨2,창고 순환 시장
supply,공급,레벨2,창고 순환 시장
trade,무역,레벨1,창고 순환 시장
waste,낭비하다,레벨2,창고 순환 시장
capital,수도,레벨1,수도 교통 모형
hall,회관,레벨1,수도 교통 모형
hotel,호텔,레벨1,수도 교통 모형
station,역,레벨1,배움 마을 환승장
helicopter,헬리콥터,레벨2,배움 마을 환승장
engine,엔진,레벨2,배움 마을 환승장
rail,철로,레벨2,산악 환승 시험장
transport,수송하다,레벨2,섬 여행 연결망
van,승합차,레벨2,섬 여행 연결망
